PRICE,BEDS,BATH,PROPERTYSQFT,neighborhood,PRICE_PER_SQFT
2999950,3,2.3738608579684373,2184.207862,171,1373.4727597093504
559900,3,2.0,980.0,189,571.3265306122449
549000,3,1.0,2184.207862,157,251.34970418854758
999000,3,2.0,950.0,187,1051.578947368421
289000,3,2.3738608579684373,2184.207862,175,132.31341440890756
790000,3,2.3738608579684373,2184.207862,218,361.6871881765985
2295000,7,4.0,3632.0,226,631.8832599118942
1150000,3,4.0,3000.0,272,383.3333333333333
13995000,7,2.3738608579684373,9026.0,291,1550.5207179259917
6100000,3,2.3738608579684373,2184.207862,128,2792.774490983862
350000,3,2.3738608579684373,2184.207862,126,160.24115931874618
450000,3,2.3738608579684373,2184.207862,92,206.0243476955308
2999999,3,2.3738608579684373,2184.207862,153,1373.4951934716548
2500000,3,2.3738608579684373,2184.207862,100,1144.5797094196155
350000,3,2.3738608579684373,2184.207862,103,160.24115931874618
150000,3,2.3738608579684373,2184.207862,129,68.67478256517694
3600000,3,2.3738608579684373,2184.207862,168,1648.1947815642463
150000,3,2.3738608579684373,2184.207862,129,68.67478256517694
235000,3,2.0,1400.0,30,167.85714285714286
199000,3,2.3738608579684373,2184.207862,107,91.10854486980139
2000000,3,2.3738608579684373,2184.207862,277,915.6637675356925
2200000,3,2.3738608579684373,2184.207862,71,1007.2301442892617
650000,3,2.3738608579684373,2184.207862,152,297.59072444910004
149000,3,2.3738608579684373,2184.207862,65,68.21695068140909
215000,4,2.0,2000.0,126,107.5
799999,3,2.3738608579684373,2184.207862,268,366.2650491823932
299000,5,2.0,2184.207862,143,136.89173324658603
265000,3,2.3738608579684373,2184.207862,128,121.32544919847925
795000,3,2.3738608579684373,2184.207862,245,363.97634759543774
1245000,3,2.3738608579684373,2184.207862,43,570.0006952909686
549000,3,2.3738608579684373,2184.207862,266,251.34970418854758
7495000,4,4.0,2888.0,273,2595.2216066481997
2850000,4,4.0,4080.0,152,698.5294117647059
215000,2,2.0,747.0,145,287.81793842034807
299000,3,2.3738608579684373,2184.207862,171,136.89173324658603
275000,2,1.0,1104.0,108,249.09420289855072
898000,6,3.0,2100.0,149,427.6190476190476
275000,2,1.0,900.0,191,305.55555555555554
599000,4,2.0,1682.0,157,356.12366230677765
189000,1,1.0,730.0,142,258.90410958904107
678990,3,3.0,1575.0,241,431.1047619047619
800000,3,2.0,1824.0,270,438.5964912280702
549000,3,2.0,1092.0,99,502.74725274725273
849000,3,2.0,2000.0,164,424.5
675000,3,2.3738608579684373,2184.207862,165,309.0365215432962
130000,3,2.3738608579684373,664.0,109,195.78313253012047
759999,4,2.0,2184.207862,153,347.95177383167936
489000,2,1.0,978.0,133,500.0
799900,5,2.0,1750.0,103,457.0857142857143
295000,3,1.0,2184.207862,107,135.06040571151465
159000,2,1.0,1010.0,130,157.4257425742574
999500,3,2.0,1144.0,263,873.6888111888112
589000,3,2.0,2310.0,118,254.978354978355
329000,2,1.0,850.0,146,387.05882352941177
799000,3,2.0,1881.0,165,424.77405635300374
1188000,4,2.0,1580.0,276,751.8987341772151
729000,3,2.0,1400.0,197,520.7142857142857
614900,3,2.0,1495.0,129,411.30434782608694
599000,4,2.0,1500.0,5,399.3333333333333
950000,6,2.0,2184.207862,225,434.9402895794539
11000000,5,2.3738608579684373,2184.207862,250,5036.150721446308
348000,3,2.3738608579684373,2184.207862,65,159.32549555121048
965000,3,1.0,540.0,220,1787.037037037037
1095000,4,4.0,2280.0,183,480.2631578947368
2295000,2,2.0,1242.0,306,1847.8260869565217
13500000,5,7.0,2184.207862,292,6180.730430865924
49500,3,2.3738608579684373,800.0,91,61.875
460000,3,3.0,2256.0,171,203.90070921985816
825000,12,6.0,2184.207862,126,377.71130410847314
1230250,3,2.0,1590.0,71,773.7421383647799
799999,3,2.0,1344.0,224,595.2373511904761
259500,2,1.0,2184.207862,31,118.80737383775609
1300000,15,6.0,4920.0,165,264.2276422764228
749000,2,2.0,1300.0,79,576.1538461538462
265000,2,1.0,660.0,135,401.5151515151515
575000,2,1.0,900.0,124,638.8888888888889
849000,4,2.0,2180.0,191,389.44954128440367
875000,2,2.0,1214.0,219,720.7578253706755
599999,3,2.0,1360.0,170,441.17573529411766
1150000,5,3.0,2184.207862,107,526.5066663330232
1188000,4,2.3738608579684373,3840.0,232,309.375
579900,3,2.3738608579684373,2640.0,105,219.6590909090909
1295000,4,3.0,2440.0,263,530.7377049180328
250000,3,1.0,1376.0,177,181.6860465116279
1395000,3,2.3738608579684373,2184.207862,92,638.6754778561454
1648000,3,4.0,1751.0,71,941.1764705882352
1675000,4,5.0,2184.207862,274,766.8684053111424
950000,3,2.0,1748.0,57,543.4782608695652
449500,1,1.0,2184.207862,292,205.79543175364688
184888,3,1.0,500.0,57,369.776
399000,3,1.0,500.0,112,798.0
209000,1,1.0,1078.0,294,193.87755102040816
280000,3,2.0,1100.0,200,254.54545454545453
625000,3,2.0,2184.207862,131,286.14492735490387
275000,3,1.0,2184.207862,284,125.90376803615771
924800,4,3.0,2049.0,246,451.34211810639334
1300000,6,4.0,2112.0,255,615.530303030303
995000,5,2.0,2288.0,244,434.8776223776224
16500000,5,4.0,4105.0,273,4019.4884287454324
695000,3,2.3738608579684373,1793.0,132,387.61851645287226
16500000,5,4.0,4105.0,273,4019.4884287454324
695000,3,2.3738608579684373,1793.0,132,387.61851645287226
998000,5,3.0,1738.0,176,574.223245109321
899000,7,3.0,1980.0,118,454.04040404040404
849000,6,5.0,2184.207862,157,388.69926931890143
235000,3,1.0,2184.207862,124,107.59049268544386
399999,2,1.0,2184.207862,124,183.1322956752547
520000,4,2.0,1701.0,268,305.70252792475014
485000,3,2.0,2184.207862,171,222.04846362740543
215000,3,1.0,1100.0,168,195.45454545454547
1288000,6,5.0,2640.0,189,487.8787878787879
270000,2,2.0,900.0,78,300.0
375000,2,2.0,1200.0,92,312.5
565000,1,1.0,2184.207862,291,258.67501432883313
849000,4,3.0,2184.207862,228,388.69926931890143
199000,2,1.0,2184.207862,153,91.10854486980139
5500000,8,6.0,9000.0,294,611.1111111111111
899000,4,2.3738608579684373,2184.207862,255,411.59086350729376
699000,3,2.0,2350.0,224,297.4468085106383
27750000,7,8.0,8139.0,295,3409.5097677847402
739000,3,1.0,1148.0,137,643.7282229965157
425000,3,2.0,1700.0,130,250.0
300000,2,1.0,900.0,105,333.3333333333333
569000,3,3.0,1780.0,145,319.6629213483146
789000,5,3.0,1273.0,179,619.7957580518461
10500000,3,3.0,2753.0,256,3814.021067925899
350000,2,1.0,825.0,275,424.24242424242425
5895000,8,5.0,6312.0,275,933.93536121673
1250000,7,4.0,2184.207862,253,572.2898547098077
1499999,4,2.0,2264.0,224,662.5437279151944
1488000,6,2.0,2184.207862,276,681.2538430465552
285000,3,2.3738608579684373,2184.207862,243,130.48208687383618
699000,3,3.0,2184.207862,157,320.0244867537245
924900,3,2.0,1404.0,254,658.7606837606837
560000,4,2.0,2318.0,269,241.58757549611735
1998000,12,8.0,5100.0,278,391.7647058823529
309000,3,2.0,2184.207862,107,141.4700520842645
925000,4,2.3738608579684373,2160.0,198,428.24074074074076
999000,4,2.0,2184.207862,251,457.37405188407837
699000,2,2.0,833.0,79,839.1356542617046
278500,2,1.0,2184.207862,57,127.50617962934517
738000,3,2.0,2184.207862,257,337.87993022067053
900000,4,4.0,2700.0,213,333.3333333333333
369000,1,1.0,1470.0,124,251.0204081632653
609000,3,2.0,1620.0,145,375.9259259259259
758000,3,2.0,1278.0,218,593.1142410015649
728000,3,2.0,1890.0,133,385.18518518518516
314900,3,3.0,1200.0,126,262.4166666666667
2848000,6,2.3738608579684373,4443.0,274,641.0083277065046
1298000,3,2.0,2046.0,196,634.4086021505376
1095000,4,4.0,2500.0,82,438.0
434900,3,2.0,1286.0,159,338.1804043545879
